#schema: gunit book list v1 — columns are PIPE-separated (|)
#  1 title    2 author    3 status    4 md5/source    5 date    6 calibre_id|se-empty
#  status: (blank)=pending  downloaded  nomatch  failed  pdf-only  quota_blocked  tagged  queued/downloading/completed (legacy)
#  col4: Anna's md5, or se:<author>/<title> for Standard Ebooks rows
#  col6: calibre book id on DONE rows; the literal "se-empty" on quota_blocked/nomatch/pdf-only rows means SE was already searched and had nothing (skip re-search)
#  lines beginning with # are comments; "#tag: NAME[, NAME...]" sets the calibre tags for this whole list
# Nobel prizewinners (couple of picks for each)

#tag: Nobel, Prizewinners
#columns: Title | Author



The Iceman Cometh|Eugene O'Neill|tagged|73f51ac3c6036475284057730e9d4da1|2026-06-22T13:34
The Thibaults|Roger Martin du Gard|failed|b02f0a702c0ff65e5b6b98800f3d7989|2026-06-21T20:35
The Good Earth|Pearl S. Buck|tagged||2026-06-08T21:10
The Maid Silja|Frans Eemil Sillanpää|nomatch||2026-06-21T20:36|se-empty
The Long Journey|Johannes V. Jensen|failed|65892cc26f4e7487afb504edfe3cd09f|2026-06-21T20:41
Desolación|Gabriela Mistral|failed|117469edbeac92520550cdcb2c6362f1|2026-06-21T20:45
Steppenwolf|Hermann Hesse|tagged|se:hermann-hesse/steppenwolf/basil-creighton|2026-06-08T21:10
Siddhartha|Hermann Hesse|tagged||2026-06-08T21:10
The Counterfeiters|André Gide|tagged|se:andre-gide/the-counterfeiters/dorothy-bussy|2026-06-08T21:10
The Immoralist|André Gide|tagged||2026-06-22T13:35
The Waste Land|T. S. Eliot|tagged||2026-06-08T21:10
Four Quartets|T. S. Eliot|tagged||2026-06-22T13:35
The Sound and the Fury|William Faulkner|tagged||2026-06-08T21:11
As I Lay Dying|William Faulkner|tagged|se:william-faulkner/as-i-lay-dying|2026-06-08T21:11
History of Western Philosophy|Bertrand Russell|tagged|04471fb74582314656189d256680c553|2026-06-22T13:35|2127
Principia Mathematica|Bertrand Russell|failed|2f63b00e305534b03e4f5e85e0bd5bc4|2026-06-21T20:49
Barabbas|Pär Lagerkvist|tagged|134385e3495830f2b1c27a7826e1cbf0|2026-06-22T13:36|2101
The Dwarf|Pär Lagerkvist|tagged||2026-06-22T13:36
Thérèse Desqueyroux|François Mauriac|imported_but_unfound|e80a0d03b7e4cbadbc9ab0fa17c7304f|2026-06-26T08:29
The Second World War|Winston Churchill|tagged|6e91763db0e3ca66eb814db1d1df0ebe|2026-06-22T13:37|1833
The Old Man and the Sea|Ernest Hemingway|tagged||2026-06-08T21:11
A Farewell to Arms|Ernest Hemingway|tagged||2026-06-08T21:11
Independent People|Halldór Laxness|tagged|1b3e339a7092daf985620e48695c71ba|2026-06-22T13:37|2128
Platero and I|Juan Ramón Jiménez|imported_but_unfound|482a3ddef88198412eea30128d74e61d|2026-06-26T08:29
The Stranger|Albert Camus|tagged||2026-06-08T21:11
The Plague|Albert Camus|tagged||2026-06-22T13:39
Doctor Zhivago|Boris Pasternak|imported_but_unfound|63f0e84c0a39dbd261276e40266c2f5c|2026-06-26T08:30
And Suddenly It's Evening|Salvatore Quasimodo|nomatch||2026-06-21T20:51|se-empty
Anabasis|Saint-John Perse|imported_but_unfound|20982e224e5c307b69bbfaefa7494d5d|2026-06-26T08:30
Exile|Saint-John Perse|imported_but_unfound|f6a60dcf332a710b7552ef25ffb40c1f|2026-06-26T08:30
The Bridge on the Drina|Ivo Andrić|tagged|06e50b7befb83a3470341a350343efad|2026-06-23T03:04
The Grapes of Wrath|John Steinbeck|tagged||2026-06-08T21:12
East of Eden|John Steinbeck|tagged||2026-06-08T21:12
Mythistorema|Giorgos Seferis|nomatch||2026-06-21T20:53|se-empty
Nausea|Jean-Paul Sartre|tagged|cdb4308c6e47786dc4cd2df857a529f0|2026-06-22T13:42|1840
No Exit|Jean-Paul Sartre|failed|39aed5e171cf20232c481f533773c444|2026-06-21T20:58
And Quiet Flows the Don|Mikhail Sholokhov|imported_but_unfound|5c7984b76097cdcac0291ac8f0f3cf94|2026-06-26T08:30
The Bridal Canopy|Shmuel Yosef Agnon|imported_but_unfound|18d48e61ea5c32e5ac7e48426681c796|2026-06-26T08:30
O the Chimneys|Nelly Sachs|imported_but_unfound|408609f235764ae9389bf9d99db803a5|2026-06-26T08:30
Men of Maize|Miguel Ángel Asturias|tagged|4215c284aeee53facd7a7c4ce3f94bea|2026-06-22T13:45|2129
El Señor Presidente|Miguel Ángel Asturias|failed|4de0ca12935917bdd06d09786e15b8a9|2026-06-23T02:49
Snow Country|Yasunari Kawabata|tagged|413ed2c76df05df9dd200b264baecdc8|2026-06-22T13:46|2130
Thousand Cranes|Yasunari Kawabata|tagged|1dbd162ae0d57cba7e38b895619afa10|2026-06-22T13:46|2131
Waiting for Godot|Samuel Beckett|tagged|026da820a4b7c1a194702cbc1de6862e|2026-06-22T13:46|2132
Endgame|Samuel Beckett|tagged|5e0a50859b723a26912cda431185b1b6|2026-06-22T13:46|2133
The Gulag Archipelago|Aleksandr Solzhenitsyn|tagged||2026-06-08T21:12
One Day in the Life of Ivan Denisovich|Aleksandr Solzhenitsyn|tagged||2026-06-08T21:12
Twenty Love Poems and a Song of Despair|Pablo Neruda|tagged|0ff33635261e31637176de2981a09c20|2026-06-22T13:46|2105
Canto General|Pablo Neruda|failed|79fe23f06f51f503a91d84d0f5df0375|2026-06-21T21:01
The Clown|Heinrich Böll|tagged|01b5dd7de07d4bb85281eed6076ccd28|2026-06-22T13:46|2134
Billiards at Half-Past Nine|Heinrich Böll|tagged|1dcf1ef7173c0c8c5a4670295427555c|2026-06-22T13:46|2135
The Tree of Man|Patrick White|failed|7acdcaf3d85c36a6a80bed531a5e30e8|2026-06-21T21:08
Voss|Patrick White|tagged|3de514ecedc4054dc32a52a6dcfd5e74|2026-06-22T13:47
The Days of His Grace|Eyvind Johnson|failed|5b20dfbb1329f550f5929a1f94da848b|2026-06-21T21:10
Aniara|Harry Martinson|failed|a8ba7ac0c780d519b45575179cd62f66|2026-06-21T21:14
Cuttlefish Bones|Eugenio Montale|failed|4a29ee0e8841cd76e05a97f552de8451|2026-06-21T21:18
The Storm and Other Things|Eugenio Montale|nomatch||2026-06-21T21:19|se-empty
The Adventures of Augie March|Saul Bellow|tagged|064989a20a1937622ae69ece96f4528e|2026-06-22T13:47|2331
Herzog|Saul Bellow|tagged|4828ebfb9b5904bf22fd3be43f4b6d8e|2026-06-22T13:47|2330
Destruction or Love|Vicente Aleixandre|pdf-only|338dccf7d93128cf9efd9b8273d8ea92|2026-06-22T22:58|se-empty
The Magician of Lublin|Isaac Bashevis Singer|tagged|5d9db94b40755f44d371ef7b5b20372c|2026-06-22T13:48|2126
Enemies, A Love Story|Isaac Bashevis Singer|tagged|a5535d79bea7a889053c7c5abf0cbd21|2026-06-22T13:48|2102
The Axion Esti|Odysseus Elytis|nomatch||2026-06-17T13:22|se-empty
The Captive Mind|Czesław Miłosz|imported_but_unfound|9a95855d8eace2a6ae61331a1f7cbc14|2026-06-26T08:30
Bells in Winter|Czesław Miłosz|pdf-only|c736b395997323374ee3796f5934177f|2026-06-17T13:23|se-empty
Auto-da-Fé|Elias Canetti|failed|1f57b0f482a1797b1d8717d778eb2fa3|2026-06-21T08:07
Crowds and Power|Elias Canetti|tagged|45da2f8ba87fba7b346351920efd19ab|2026-06-22T13:48|2106
One Hundred Years of Solitude|Gabriel García Márquez|tagged||2026-06-08T21:12
Love in the Time of Cholera|Gabriel García Márquez|tagged||2026-06-08T21:13
Lord of the Flies|William Golding|tagged||2026-06-08T21:13
The Inheritors|William Golding|tagged|0989609c2ac5533d9d20c03266a461ff|2026-06-22T13:49|2335
Jaroslav Seifert|The Poetry of Jaroslav Seifert|tagged|8d7c5a21a152c1606544c54b05d783e3|2026-06-23T19:21
Claude Simon|The Flanders Road|tagged|20c05d2f291c023e95c92b17c2116f16|2026-06-23T19:21
Death and the King's Horseman|Wole Soyinka|pdf-only|7903d040eec67f535a97fae03d9af08d|2026-06-23T19:08|se-empty
Wole Soyinka|The Interpreters|tagged|4c865bf3df622fd427754446f3e3eadd|2026-06-23T19:21
A Part of Speech|Joseph Brodsky|pdf-only|f521da8666aae4b9225c1def968e91fb|2026-06-23T19:10|se-empty
Watermark|Joseph Brodsky|tagged|b859ee7c81893dfdc9a45387b77c9c19|2026-06-22T13:53|1854
Naguib Mahfouz|The Cairo Trilogy|tagged|04830a53f08c54812b7225e024cdab3b|2026-06-23T19:21
Naguib Mahfouz|Children of the Alley|tagged|51fd77c3491ae13940ff0ee3fac83104|2026-06-23T19:21
Camilo José Cela|The Family of Pascual Duarte|tagged|b51da3fd638b618919ab82cebdb772a4|2026-06-23T21:05
Camilo José Cela|The Hive|tagged|2c92f17dfef5929733b3a3a418583466|2026-06-23T19:35
Octavio Paz|The Labyrinth of Solitude|tagged|8e82fa6edefd41c73565823f85057c32|2026-06-23T21:05
Nadine Gordimer|Burger's Daughter|tagged|302b64b4a18a76049f3c21d850c6ceb2|2026-06-23T19:35
Nadine Gordimer|July's People|tagged|039a42e0413a0c4013c389a1d06c3223|2026-06-23T21:05
Omeros|Derek Walcott|tagged|5c4e9a98bdaff7b4a8ab01caf5f3811b|2026-06-22T13:58|1862
Beloved|Toni Morrison|tagged||2026-06-08T21:14
Song of Solomon|Toni Morrison|tagged||2026-06-22T13:59
A Personal Matter|Kenzaburō Ōe|tagged|e1b5dacb66e5afc30ff831fecc1302d9|2026-06-22T13:59|1863
The Silent Cry|Kenzaburō Ōe|tagged|c62aa5094e5dcf6a7276b3193ea9e10f|2026-06-22T13:59|1864
Death of a Naturalist|Seamus Heaney|imported_but_unfound|5960ef68c1bd714f36355c1d18827497|2026-06-26T08:30
Beowulf (Translation)|Seamus Heaney|imported_but_unfound|90cfd173670e8ff45964b8470c6c634b|2026-06-26T08:30
Calling Out to Yeti|Wisława Szymborska|nomatch||2026-06-22T02:23|se-empty
Miracle Fair|Wisława Szymborska|imported_but_unfound|30e13869f86765e1cbb0b4f41e02472c|2026-06-26T08:30
Accidental Death of an Anarchist|Dario Fo|tagged|fc9ba6f92fd78f3bd189eea98d6f4335|2026-06-22T14:02|2334
Blindness|José Saramago|tagged||2026-06-22T23:18
The Gospel According to Jesus Christ|José Saramago|tagged|03947064ca00e0e6e23e930ad22eb20b|2026-06-22T14:02
The Tin Drum|Günter Grass|tagged||2026-06-22T14:02
Cat and Mouse|Günter Grass|tagged|2e538398cfcd6e455c9efad40688bbec|2026-06-22T14:02|2137
Soul Mountain|Gao Xingjian|tagged|51b21ba07c1ce8e5c5f3db1ab73f0be3|2026-06-22T14:02|2138
One Man's Bible|Gao Xingjian|tagged|064633e7220c0d4bc33d69c2f4208cfe|2026-06-22T14:02|2139
A House for Mr Biswas|V. S. Naipaul|tagged||2026-06-22T14:03
A Bend in the River|V. S. Naipaul|tagged|0b25d0838aee945459776e005169b96d|2026-06-22T14:03|2140
Fatelessness|Imre Kertész|tagged|09a6a43abb1bcdf46b358544f99d91a9|2026-06-22T14:03|2141
Kaddish for an Unborn Child|Imre Kertész|tagged|097f49e1787cc5ab853ad394dffd8621|2026-06-22T14:03|2142
Disgrace|J. M. Coetzee|tagged||2026-06-22T14:04
Waiting for the Barbarians|J. M. Coetzee|tagged|08f4a5066c787209e1ff924cbdaa6151|2026-06-22T14:04|2143
The Piano Teacher|Elfriede Jelinek|tagged|341a211f0f4b79362eef1c69b9589763|2026-06-22T14:04
Lust|Elfriede Jelinek|failed|424b0e01357be440d75f58355564aaf8|2026-06-22T06:55
The Birthday Party|Harold Pinter|tagged|2fa9e7d4eda776f777b99d7b57999bcc|2026-06-22T14:04|2145
The Caretaker|Harold Pinter|pdf-only|0f1681b48e5fe8c8591e56ea18e586cf|2026-06-23T20:52|se-empty
My Name Is Red|Orhan Pamuk|tagged|077f44073860282d2b62322c8c262770|2026-06-22T14:05
Snow|Orhan Pamuk|tagged|12ddd1bfd8c953682f81311a32fb3d32|2026-06-22T14:05
The Golden Notebook|Doris Lessing|tagged||2026-06-08T21:14
The Grass is Singing|Doris Lessing|tagged|1580d34b22a28454c690df8e6b1c58fd|2026-06-22T14:05|2326
Desert|J. M. G. Le Clézio|tagged|0b19a30222b57641419530bb574f775f|2026-06-22T14:05|2324
The Interrogation|J. M. G. Le Clézio|tagged|2fb9123c136793f2dc6932869d8986f2|2026-06-22T14:05
The Hunger Angel|Herta Müller|tagged|050119718cb8d6013367dcf4ce86c266|2026-06-22T14:05|2328
The Appointment|Herta Müller|tagged|0fae0a093c4b3e4b4e20c2991594774c|2026-06-22T14:05|2320
The Time of the Hero|Mario Vargas Llosa|tagged|4a8129b1eb8e7a284a4ca9cafd46b8ab|2026-06-22T14:06|2327
The Feast of the Goat|Mario Vargas Llosa|tagged|086c42cbe1ff20b3447aa4ea80c3c803|2026-06-22T14:06|2325
The Great Enigma|Tomas Tranströmer|tagged|9cbb447f6c6bd804229c30e4e44a21d5|2026-06-23T00:10|2340
The Half-Finished Heaven|Tomas Tranströmer|tagged||2026-06-22T23:18
Red Sorghum|Mo Yan|tagged|46727c2412fab378a28a5e4197a56480|2026-06-22T14:06|2333
The Republic of Wine|Mo Yan|tagged|05b32789962a25e9c231e9e1ca05b4c6|2026-06-22T14:06
Dear Life|Alice Munro|tagged|0995562b8e4f2b234a3af5de8ddfe745|2026-06-22T14:06|2107
The Moons of Jupiter|Alice Munro|tagged|31c585408d6eb159e5e7c7edab9ea3bb|2026-06-22T14:06|2111
Missing Person|Patrick Modiano|tagged|2395edbd1e21d3b7e5e7de30cb21ca47|2026-06-22T14:06
Dora Bruder|Patrick Modiano|tagged|03ac880a3163adcb97c88ea491582169|2026-06-22T14:06|2108
Voices from Chernobyl|Svetlana Alexievich|tagged|02dd26057781fbd3c2f51d1910a50dbc|2026-06-22T14:06|2113
The Unwomanly Face of War|Svetlana Alexievich|tagged|077eb4e0db415027ca9c397dcd8b4dcc|2026-06-22T14:06|2114
Chronicles|Bob Dylan|imported_but_unfound|12d0e929713eeb5640241ad9945d24af|2026-06-26T08:31
Tarantula|Bob Dylan|failed|23e766e035b6b7411ecf4e54afc87449|2026-06-23T20:53
The Remains of the Day|Kazuo Ishiguro|tagged||2026-06-08T21:14
Never Let Me Go|Kazuo Ishiguro|tagged||2026-06-08T21:14
Flights|Olga Tokarczuk|tagged|0c5236eeeb3cf85e6a79c9f177fbbc95|2026-06-22T14:07|2109
The Books of Jacob|Olga Tokarczuk|tagged|1c4ee9615c25415561ca1eef4d1c2c6a|2026-06-22T14:07|2118
The Goalie's Anxiety at the Penalty Kick|Peter Handke|tagged|336ff9acd255631b07c4556e79ab0185|2026-06-22T14:08
A Sorrow Beyond Dreams|Peter Handke|tagged|771cd633f5294a635dc92cd496fc6061|2026-06-22T14:08|2115
The Wild Iris|Louise Glück|tagged|d3a2d93fcca73d9d179c705954cae480|2026-06-22T14:08|2319
Averno|Louise Glück|tagged|1692618d80bcc932579b1444ffa09864|2026-06-22T14:08
Paradise|Abdulrazak Gurnah|tagged|1c78bb8948ca44248bd41509f663e48a|2026-06-22T14:08
By the Sea|Abdulrazak Gurnah|tagged|5cab1db82d5ba665863f2ed2b959e452|2026-06-22T14:08|2321
The Years|Annie Ernaux|tagged|46088cc0c9471346758215d5725c1542|2026-06-22T14:08|2323
Happening|Annie Ernaux|tagged|09f7dea1f2500454040fec3273e266ab|2026-06-22T14:08|2116
Septology|Jon Fosse|tagged|b2dca211310cd797d5c328113593059b|2026-06-22T14:08
Melancholy|Jon Fosse|pdf-only|577e5905789d7f1991a31b7e3078e061|2026-06-22T06:56|se-empty
The Vegetarian|Han Kang|tagged||2026-06-08T21:15
Human Acts|Han Kang|tagged|01ff3a8d20937fcfd850e286938b5157|2026-06-22T14:09|2117
Satantango|László Krasznahorkai|failed|5d7777dcf1021a363dae318fd211a41e|2026-06-23T20:54
The Melancholy of Resistance|László Krasznahorkai|imported_but_unfound|bf9980fc95023f7eb3789cbfdb8edec6|2026-06-26T08:31
